id_cliente,nome_cliente,sexo,data_nascimento
1,Cliente 1,F,1970-01-01
2,Cliente 2,F,1970-01-03
3,Cliente 3,M,1970-01-06
4,Cliente 4,F,1970-01-08
5,Cliente 5,F,1970-01-11
6,Cliente 6,M,1970-01-14
7,Cliente 7,F,1970-01-16
8,Cliente 8,F,1970-01-19
9,Cliente 9,M,1970-01-22
10,Cliente 10,F,1970-01-24
11,Cliente 11,F,1970-01-27
12,Cliente 12,M,1970-01-29
13,Cliente 13,M,1970-02-01
14,Cliente 14,F,1970-02-04
15,Cliente 15,F,1970-02-06
16,Cliente 16,F,1970-02-09
17,Cliente 17,F,1970-02-12
18,Cliente 18,M,1970-02-14
19,Cliente 19,F,1970-02-17
20,Cliente 20,F,1970-02-19
21,Cliente 21,F,1970-02-22
22,Cliente 22,F,1970-02-25
23,Cliente 23,M,1970-02-27
24,Cliente 24,F,1970-03-02
25,Cliente 25,M,1970-03-05
26,Cliente 26,F,1970-03-07
27,Cliente 27,M,1970-03-10
28,Cliente 28,F,1970-03-13
29,Cliente 29,F,1970-03-15
30,Cliente 30,F,1970-03-18
31,Cliente 31,M,1970-03-20
32,Cliente 32,F,1970-03-23
33,Cliente 33,F,1970-03-26
34,Cliente 34,F,1970-03-28
35,Cliente 35,F,1970-03-31
36,Cliente 36,F,1970-04-03
37,Cliente 37,M,1970-04-05
38,Cliente 38,F,1970-04-08
39,Cliente 39,F,1970-04-10
40,Cliente 40,F,1970-04-13
41,Cliente 41,M,1970-04-16
42,Cliente 42,F,1970-04-18
43,Cliente 43,M,1970-04-21
44,Cliente 44,M,1970-04-24
45,Cliente 45,M,1970-04-26
46,Cliente 46,F,1970-04-29
47,Cliente 47,F,1970-05-01
48,Cliente 48,F,1970-05-04
49,Cliente 49,F,1970-05-07
50,Cliente 50,M,1970-05-09
51,Cliente 51,F,1970-05-12
52,Cliente 52,F,1970-05-15
53,Cliente 53,F,1970-05-17
54,Cliente 54,F,1970-05-20
55,Cliente 55,M,1970-05-23
56,Cliente 56,F,1970-05-25
57,Cliente 57,F,1970-05-28
58,Cliente 58,F,1970-05-30
59,Cliente 59,F,1970-06-02
60,Cliente 60,M,1970-06-05
61,Cliente 61,F,1970-06-07
62,Cliente 62,F,1970-06-10
63,Cliente 63,F,1970-06-13
64,Cliente 64,M,1970-06-15
65,Cliente 65,F,1970-06-18
66,Cliente 66,M,1970-06-20
